year,stcd,dv,dpres,redist ,dexp ,rexp
1994,4608,60.19,57.91018,0,910239,643979
1994,4609,58.78,51.40736,0,779616,206235
1994,4610,,40.00731,0,0,222532
1994,4611,46.13,49.71301,0,1136669,1430272
1994,4701,48.34,55.95018,0,875756,877570
1994,4702,45.34,55.44112,0,613063,407902
1994,4703,46.14,55.8969,0,987242,515316
1994,4704,46.66,44.94883,0,496638,619963
1994,4705,49.08,52.46934,0,2144579,1067185
1994,4706,58.34,57.83939,0,629161,60721
1994,4707,75.14,77.87776,0,275259,0
1994,4708,23.93,52.71123,0,0,685083
1994,4709,48.21,57.4504,0,880262,617127
1994,4801,70.3,56.91015,0,315389,7245
1994,4802,63.71,53.56622,0,271315,43897
1994,4803,63.88,63.31421,0,389323,41838
1994,4901,49.66,53.68652,0,671438,512091
1994,4902,29.29,61.27825,0,281783,689215
1994,4903,42.4,56.99789,0,217560,658181
1994,4904,54.52,51.68923,0,495371,111356
1994,4905,63.19,64.86697,0,239418,115791
1994,4906,,45.88338,0,,326635
1994,4907,54.33,55.694,0,607058,98781
1994,4908,36.27,46.8528,0,215831,683149
1994,4909,,38.21146,0,,161986
1994,5001,43.69,46.20798,0,2429346,511119
1996,101,34.45,39.7,0,39826,402128
1996,102,35.92,40.03556,0,171208,983814
1996,103,48.42,47.38276,0,799043,868833
1996,104,49.14,47.46141,0,1023515,763117
1996,105,56.89,46.79833,0,1006445,886648
1996,106,27.8,29.18305,0,36522,511226
1996,107,72.38,75.52275,0,223582,224029
1996,201,38.01,39.5715,0,245941,1176954
1996,301,39.82,49.68665,0,0,456089
1996,302,67.88,69.45502,0,405526,101730
1996,303,33.48,46.37722,0,23567,234597
1996,304,33.22,47.45911,0,116003,512249
1996,305,27.37,51.90758,0,0,415550
1996,306,49.49,51.39693,0,762046,1499443
1996,401,54.35,63.96477,0,871389,574846
1996,402,52.35,59.94571,0,798145,730699
1996,403,42.9,49.22754,0,441734,366628
1996,404,36.5,65.77308,0,0,452572
1996,501,46.68,57.64238,0,1228870,1390399
1996,502,35.68,41.51254,0,161918,536724
1996,503,56.56,50.45234,0,2320330,645209
1996,504,37.39,42.44012,0,199179,604778
1996,505,72.93,62.7909,0,814857,18792
1996,506,64.53,66.54984,0,542131,292181
1996,507,76.32,72.42737,0,434745,41147
1996,508,87.19,84.12701,0,465863,0
1996,509,80.66,85.68404,0,415090,34491
1996,510,50.75,53.08614,0,2571595,1398556
1996,511,37.88,50.24023,0,17862,470749
1996,512,75.15,76.4,0,591305,4016
1996,513,68.18,69.35886,0,630357,60106
1996,514,67.6,65.23714,0,544566,432849
1996,515,37.32,59.93674,0,64732,1650740
1996,516,68.52,67.96798,0,191393,77796
1996,517,60.92,63.1413,0,609698,455239
1996,518,67.38,50.43667,0,678001,75271
1996,519,29.84,43.43447,0,6509,618220
1996,520,59.08,56.20107,0,662818,505054
1996,521,28.7,37.79249,0,33295,768689
1996,522,52.28,49.88153,0,904831,1276151
1996,523,37.07,52.11085,0,24642,294940
1996,524,53.14,58.52955,0,1364516,898786
1996,525,34.71,46.47102,0,16434,384011
1996,526,69.72,72.47044,0,408096,78469
1996,527,46.25,54.75032,0,1052335,763574
1996,528,37.84,50.67146,0,50651,396104
1996,529,73.32,73.79702,0,365082,135677
1996,530,79.45,78.18389,0,223890,0
1996,531,70.71,71.70489,0,83015,39439
1996,532,86.92,87.07911,0,97495,0
1996,533,85.35,85.06664,0,144278,6208
1996,534,71.99,69.99007,0,207398,11171
1996,535,87.61,88.49345,0,235851,2428
1996,536,54.44,53.00122,0,1579681,486564
1996,537,85,86.49745,0,214176,42972
1996,538,44.83,59.63403,0,1010572,470077
1996,539,33.7,46.12146,0,0,489076
1996,540,30.86,43.5803,0,12085,239448
1996,541,36.06,48.15392,0,0,579673
1996,542,50.48,60.02691,0,722544,685623
1996,543,40.94,48.58794,0,46590,594665
1996,544,40.03,49.70404,0,116240,458527
1996,545,35.28,42.89302,0,51491,272859
1996,546,50.52,54.54256,0,811219,741984
1996,547,30.53,40.14851,0,73980,527738
1996,548,29,37.82805,0,10645,264625
1996,549,44.33,54.80291,0,450424,1122073
1996,550,65.62,64.86337,0,1142370,120562
1996,551,30.77,42.67731,0,19935,425525
1996,552,31.27,46.39926,0,40178,632305
1996,601,58.61,66.47259,0,889219,423755
1996,602,59.85,55.3801,0,778880,458442
1996,603,31.13,48.95003,0,79406,270892
1996,604,40.39,45.5785,0,261425,464165
1996,605,28.06,35.81024,0,15797,329794
1996,606,37.76,46.49347,0,119224,760648
1996,701,74.67,66.63565,0,543033,8459
1996,702,53.44,62.59306,0,1177255,423658
1996,703,71.76,64.63079,0,424582,0
1996,704,38.36,56.25769,0,183061,552597
1996,705,53.13,54.43628,0,614440,644293
1996,706,49.65,57.74037,0,273133,931406
1996,801,28.3,58.62366,0,6437,376350
1996,901,27.44,34.45077,0,30613,428856
1996,902,59.49,53.59829,1,807103,287292
1996,903,61.2,62.6,1,330201,38413
1996,904,,39.5826,1,,280593
1996,905,61.68,57.4946,1,521859,62164
1996,906,32.82,43.48097,1,38183,301045
1996,907,37.94,48.19822,0,165794,616170
1996,908,32.52,47.42748,0,34066,421409
1996,909,31.34,49.87028,0,84370,846392
1996,910,33.39,57.31393,0,36554,265355
1996,911,57.91,56.63199,0,935314,755184
1996,912,38.43,48.30011,0,12818,213131
1996,913,35.62,48.12287,0,73500,387149
1996,914,26.51,42.72294,0,19596,372563
1996,915,45.49,46.96739,0,332687,774408
1996,916,36,52.7763,0,84523,613392
1996,917,88.77,87.30909,0,257039,0
1996,918,,45.45074,0,,163902
1996,919,65.58,69.99904,0,872367,121117
1996,920,65,65.32879,0,435604,29928
1996,921,,46.93474,0,,130085
1996,922,38.14,58.99791,0,85040,548109
1996,923,73.46,80.28757,0,276708,13417
1996,1001,31.79,48.20535,1,46023,452178
1996,1002,53.97,53.05575,1,774474,329309
1996,1003,38.89,45.84768,1,122393,485354
1996,1004,57.76,66.8831,1,1015197,654287
1996,1005,,76.43666,1,207661,
1996,1006,42.2,35.22416,1,3325030,5577715
1996,1007,42.2,43.72051,1,308368,1318681
1996,1008,47.44,51.54589,1,277400,1081914
